name;calories;proteins;carbs;fat;calcium;iron;vitamin_c
Couscous au poulet;130.0;7.5;15.6;3.85;18.4;0.86;4.05
Couscous à la viande, préemballé;128.0;7.59;12.5;4.73;25.2;0.0;0.0
Parmentier de canard, préemballé, à cuire;146.0;6.82;8.51;9.06;0.0;0.0;0.0
Parmentier de canard, préemballé, cuit;168.0;7.0;10.5;10.2;39.0;0.68;0.0
Cassoulet, appertisé;129.0;8.06;9.41;5.77;45.7;1.23;2.94
Choucroute garnie, préemballée;109.0;5.06;2.8;8.06;27.1;0.83;9.09
Petit salé ou saucisse aux lentilles, préemballé;118.0;8.24;8.89;4.87;20.0;1.8;0.0
Pot-au-feu, préemballé;77.5;10.9;3.2;2.02;23.5;1.69;0.0
Boeuf aux carottes, préemballé;95.0;13.2;2.91;3.15;15.9;0.9;0.0
Potée auvergnate (chou et porc);115.0;7.28;4.85;6.9;30.5;1.05;10.5
Cassoulet au porc, appertisé;132.0;8.3;8.6;6.3;0.0;0.0;0.0
Cassoulet au canard ou oie, appertisé;161.0;10.5;10.1;7.86;0.0;0.0;0.0
Tomate farcie, préemballée;127.0;6.0;2.95;9.67;18.4;0.87;7.0
Chou farci, préemballé;94.9;5.3;2.0;6.6;145.0;0.0;0.0
Chili con carne, préemballé;118.0;7.13;13.0;3.35;32.8;1.6;2.25
Moussaka, préemballée;147.0;5.82;5.16;10.8;16.0;0.62;0.0
Navarin d'agneau aux légumes;135.0;9.72;3.85;8.61;22.1;1.31;4.76
Tajine de mouton, préemballé;131.0;12.8;4.5;6.83;5.1;1.6;0.0
Osso buco de veau à la milanaise (jarret de porc , légumes, vin blanc);102.0;12.5;3.5;4.06;13.7;0.6;2.4
Meloukhia, plat à base de boeuf et corète, fait maison;189.0;10.6;1.2;14.7;51.3;2.4;1.5
Poulet basquaise, préemballé;107.0;9.3;2.5;6.4;0.0;0.0;0.0
Tajine de poulet, préemballé;127.0;7.54;14.4;3.7;18.0;0.45;0.0
Chop suey (porc ou poulet, légumes), préemballé;78.2;5.0;7.8;3.0;0.0;0.0;0.0
Légumes farcis (sauf tomate);91.9;4.71;3.6;6.22;27.1;0.56;4.86
Moules marinières (oignons et vin blanc), préemballées;91.9;10.3;7.43;2.24;0.0;0.0;0.0
Moules farcies (matière grasse, persillade…), préemballées, crues;283.0;9.56;4.2;24.8;40.0;2.5;0.0
Poisson blanc en sauce, préemballé (aliment moyen);147.0;13.2;4.67;8.1;19.7;1.0;9.7
